Word:,Biden Count,Trump Count,Both Count
america,19,19,38
us,25,2,27
nation,14,9,23
people,11,10,21
american,7,11,18
americans,11,4,15
world,8,6,14
today,8,5,13
country,4,9,13
democracy,12,0,12
great,6,6,12
another,9,2,11
must,8,3,11
day,7,4,11
together,7,4,11
much,9,1,10
story,9,0,9
power,5,4,9
president,4,5,9
new,3,6,9
never,3,6,9
every,2,7,9
unity,7,1,8
work,7,1,8
stand,7,1,8
time,6,2,8
children,6,2,8
let,6,2,8
god,4,4,8
many,3,5,8
right,3,5,8
make,2,6,8
history,7,0,7
days,7,0,7
know,7,0,7
fellow,6,1,7
ever,6,1,7
way,5,2,7
like,5,2,7
heart,3,4,7
jobs,3,4,7
justice,5,1,6
look,5,1,6
love,5,1,6
strength,4,2,6
good,4,2,6
forward,4,2,6
moment,4,2,6
thank,3,3,6
first,2,4,6
back,0,6,6
across,0,6,6
say,5,0,5
truth,5,0,5
promise,4,1,5
defend,4,1,5
understand,4,1,5
oath,3,2,5
get,3,2,5
united,2,3,5
citizens,1,4,5
protected,0,5,5
dreams,0,5,5
cause,4,0,4
centuries,4,0,4
virus,4,0,4
soul,4,0,4
secure,4,0,4
things,4,0,4
better,4,0,4
may,4,0,4
challenge,3,1,4
night,3,1,4
challenges,3,1,4
future,3,1,4
fear,3,1,4
hear,3,1,4
going,3,1,4
years,2,2,4
fight,2,2,4
always,2,2,4
states,2,2,4
millions,1,3,4
families,1,3,4
borders,1,3,4
left,1,3,4
wealth,0,4,4
everyone,0,4,4
bring,0,4,4
hope,3,0,3
resolve,3,0,3
tested,3,0,3
ago,3,0,3
violence,3,0,3
constitution,3,0,3
taken,3,0,3
sacred,3,0,3
peace,3,0,3
still,3,0,3
cry,3,0,3
whole,3,0,3
uniting,3,0,3
faith,3,0,3
show,3,0,3
dignity,3,0,3
respect,3,0,3
meet,3,0,3
believe,3,0,3
gave,3,0,3
common,3,0,3
objects,3,0,3
honour,3,0,3
lies,3,0,3
thinking,3,0,3
need,3,0,3
hour,2,1,3
carry,2,1,3
two,2,1,3
far,2,1,3
restore,2,1,3
lives,2,1,3
dream,2,1,3
january,2,1,3
put,2,1,3
rebuild,2,1,3
politics,2,1,3
tomorrow,2,1,3
lead,2,1,3
protect,2,1,3
watching,2,1,3
example,2,1,3
washington,1,2,3
seek,1,2,3
longer,1,2,3
safe,1,2,3
even,1,2,3
women,1,2,3
national,1,2,3
life,1,2,3
land,1,2,3
follow,1,2,3
bless,1,2,3
obama,0,3,3
capital,0,3,3
government,0,3,3
factories,0,3,3
whether,0,3,3
foreign,0,3,3
countries,0,3,3
vice-president,2,0,2
harris,2,0,2
leader,2,0,2
ages,2,0,2
friends,2,0,2
prevailed,2,0,2
ground,2,0,2
capitol,2,0,2
ahead,2,0,2
set,2,0,2
spoke,2,0,2
last,2,0,2
service,2,0,2
union,2,0,2
winter,2,0,2
difficult,2,0,2
year,2,0,2
lost,2,0,2
thousands,2,0,2
racial,2,0,2
comes,2,0,2
rise,2,0,2
extremism,2,0,2
defeat,2,0,2
overcome,2,0,2
requires,2,0,2
goes,2,0,2
ask,2,0,2
join,2,0,2
sound,2,0,2
forces,2,0,2
struggle,2,0,2
racism,2,0,2
civil,2,0,2
enough,2,0,2
see,2,0,2
neighbours,2,0,2
stop,2,0,2
crisis,2,0,2
path,2,0,2
failed,2,0,2
raging,2,0,2
everything,2,0,2
disagreement,2,0,2
shadow,2,0,2
endure,2,0,2
measure,2,0,2
happen,2,0,2
support,2,0,2
disagree,2,0,2
greatest,2,0,2
defined,2,0,2
liberty,2,0,2
duty,2,0,2
leaders,2,0,2
next,2,0,2
turn,2,0,2
versus,2,0,2
hearts,2,0,2
shoes,2,0,2
would,2,0,2
hand,2,0,2
called,2,0,2
stronger,2,0,2
folks,2,0,2
write,2,0,2
prayers,2,0,2
best,2,0,2
give,2,0,2
chief,1,1,2
roberts,1,1,2
celebrate,1,1,2
heard,1,1,2
peaceful,1,1,2
transfer,1,1,2
sights,1,1,2
carter,1,1,2
cannot,1,1,2
salute,1,1,2
patriots,1,1,2
heal,1,1,2
build,1,1,2
closed,1,1,2
making,1,1,2
white,1,1,2
terrorism,1,1,2
confront,1,1,2
words,1,1,2
disease,1,1,2
schools,1,1,2
middle,1,1,2
class,1,1,2
reality,1,1,2
historic,1,1,2
start,1,1,2
destroying,1,1,2
total,1,1,2
different,1,1,2
looking,1,1,2
office,1,1,2
tell,1,1,2
thought,1,1,2
define,1,1,2
think,1,1,2
yes,1,1,2
red,1,1,2
urban,1,1,2
open,1,1,2
souls,1,1,2
little,1,1,2
ready,1,1,2
finally,1,1,2
bible,1,1,2
serve,1,1,2
alliances,1,1,2
merely,1,1,2
behind,1,1,2
along,1,1,2
public,1,1,2
goodness,1,1,2
tells,1,1,2
thrive,1,1,2
home,1,1,2
conviction,1,1,2
done,0,2,2
transferring,0,2,2
party,0,2,2
long,0,2,2
small,0,2,2
share,0,2,2
politicians,0,2,2
victories,0,2,2
triumphs,0,2,2
belongs,0,2,2
forgotten,0,2,2
movement,0,2,2
exists,0,2,2
righteous,0,2,2
stops,0,2,2
pain,0,2,2
success,0,2,2
glorious,0,2,2
destiny,0,2,2
allegiance,0,2,2
industry,0,2,2
military,0,2,2
trillions,0,2,2
made,0,2,2
workers,0,2,2
city,0,2,2
breath,0,2,2
winning,0,2,2
nations,0,2,2
anyone,0,2,2
shine,0,2,2
old,0,2,2
earth,0,2,2
loyalty,0,2,2
talk,0,2,2
action,0,2,2
mountain,0,2,2
ocean,0,2,2
speaker,1,0,1
pelosi,1,0,1
schumer,1,0,1
mcconnell,1,0,1
pence,1,0,1
distinguished,1,0,1
guests,1,0,1
renewal,1,0,1
crucible,1,0,1
anew,1,0,1
risen,1,0,1
triumph,1,0,1
candidate,1,0,1
heeded,1,0,1
learned,1,0,1
precious,1,0,1
fragile,1,0,1
hallowed,1,0,1
sought,1,0,1
shake,1,0,1
foundations,1,0,1
uniquely,1,0,1
restless,1,0,1
bold,1,0,1
optimistic,1,0,1
predecessors,1,0,1
parties,1,0,1
bottom,1,0,1
resilience,1,0,1
lifetime,1,0,1
sworn,1,0,1
george,1,0,1
depends,1,0,1
perfect,1,0,1
storm,1,0,1
strife,1,0,1
go,1,0,1
press,1,0,1
speed,1,0,1
urgency,1,0,1
peril,1,0,1
significant,1,0,1
possibility,1,0,1
gain,1,0,1
challenged,1,0,1
found,1,0,1
challenging,1,0,1
century,1,0,1
silently,1,0,1
stalks,1,0,1
hundreds,1,0,1
businesses,1,0,1
moves,1,0,1
deferred,1,0,1
survival,1,0,1
planet,1,0,1
desperate,1,0,1
clear,1,0,1
political,1,0,1
supremacy,1,0,1
domestic,1,0,1
elusive,1,0,1
abraham,1,0,1
lincoln,1,0,1
signed,1,0,1
emancipation,1,0,1
proclamation,1,0,1
pen,1,0,1
paper,1,0,1
said,1,0,1
quote,1,0,1
act,1,0,1
bringing,1,0,1
foes,1,0,1
resentment,1,0,1
hatred,1,0,1
lawlessness,1,0,1
joblessness,1,0,1
hopelessness,1,0,1
important,1,0,1
wrongs,1,0,1
teach,1,0,1
deadly,1,0,1
leading,1,0,1
force,1,0,1
speaking,1,0,1
foolish,1,0,1
fantasy,1,0,1
divide,1,0,1
deep,1,0,1
real,1,0,1
constant,1,0,1
ideal,1,0,1
created,1,0,1
equal,1,0,1
harsh,1,0,1
ugly,1,0,1
nativism,1,0,1
torn,1,0,1
apart,1,0,1
battle,1,0,1
perennial,1,0,1
victory,1,0,1
depression,1,0,1
9/11,1,0,1
sacrifice,1,0,1
setback,1,0,1
